index_label,单词数,超链接,带话题,疫情相关,信用等级
314,47,True,True,False,"中
"
315,35,True,False,False,"正常
"
316,7,False,False,False,"中
"
317,39,True,False,False,"正常
"
318,28,False,False,True,"正常
"
319,48,False,False,False,"正常
"
320,43,False,False,False,"中
"
321,8,False,True,False,"正常
"
322,78,False,False,False,"正常
"
323,54,True,True,False,"中
"
324,26,True,True,False,"中
"
325,27,True,False,False,"正常
"
326,73,True,False,False,"中
"
327,25,True,False,False,"正常
"
328,12,True,False,False,"中
"
329,16,True,False,False,"中
"
330,29,False,False,False,"正常
"
331,26,False,False,False,"中
"
332,14,True,True,False,"中
"
333,14,True,False,False,"中
"
334,18,True,True,False,"中
"
335,14,True,False,False,"正常
"
336,21,True,False,False,"中
"
337,34,False,False,False,"正常
"
338,63,False,False,False,"正常
"
339,14,True,False,False,"中
"
340,14,True,False,False,"中
"
341,43,False,False,True,"正常
"
342,67,True,False,False,"正常
"
343,1,False,False,False,"正常
"
344,40,False,False,False,"正常
"
345,39,True,True,False,"正常
"
346,80,False,False,False,"中
"
347,45,False,True,False,"中
"
348,50,False,False,False,"正常
"
349,36,True,True,False,"中
"
350,41,False,False,False,"正常
"
351,66,True,True,False,"正常
"
352,38,True,False,False,"正常
"
353,45,False,False,False,"中
"
354,48,True,True,False,"中
"
355,12,False,False,False,"正常
"
356,22,True,True,False,"正常
"
357,35,False,False,False,"中
"
358,33,True,False,False,"中
"
359,86,True,True,False,"中
"
360,50,True,True,False,"中
"
361,29,True,False,False,"中
"
362,35,False,True,False,"正常
"
363,63,False,True,False,"正常
"
364,19,True,False,False,"中
"
365,72,False,True,False,"正常
"
366,47,True,False,False,"中
"
367,41,False,False,False,"中
"
368,73,False,False,True,"中
"
369,64,True,True,False,"中
"
370,45,False,True,False,"正常
"
371,65,True,False,False,"正常
"
372,55,True,False,False,"中
"
373,1,False,False,False,"低
"
374,62,False,False,False,"正常
"
375,25,True,False,False,"正常
"
376,40,False,False,False,"中
"
377,1,False,False,False,"中
"
378,21,False,False,False,"中
"
379,21,True,False,False,"中
"
380,76,False,False,False,"中
"
381,18,True,False,False,"正常
"
382,4,False,False,False,"中
"
383,26,True,False,False,"中
"
384,48,False,False,False,"正常
"
385,16,True,False,False,"中
"
386,51,False,False,False,"正常
"
387,49,False,False,False,"中
"
388,39,False,True,False,"中
"
389,70,False,True,False,"中
"
390,49,True,True,False,"正常
"
391,37,True,True,False,"中
"
392,39,False,False,False,"中
"
393,21,True,True,False,"正常
"
394,29,True,False,False,"中
"
395,14,False,True,False,"中
"
